Matematica,¿Cuánto es 5 + 7?,12,10,13,11,1
Matematica,¿Cuánto es 9 x 6?,54,56,58,60,1
Matematica,¿Qué es 144 dividido por 12?,11,12,10,13,2
Matematica,¿Cuánto es 20 - 8?,12,13,11,14,1
Matematica,¿Cuánto es 15 x 3?,45,40,50,35,1
Historia,¿Quién fue el primer presidente de los Estados Unidos?,Abraham Lincoln,George Washington,Thomas Jefferson,John Adams,2
Historia,¿En qué año ocurrió la caída del Imperio Romano?,476 d.C.,500 d.C.,400 d.C.,520 d.C.,1
Historia,¿Qué guerra ocurrió entre 1914 y 1918?,Guerra de Independencia,Primera Guerra Mundial,Segunda Guerra Mundial,Guerra Civil Española,2
Historia,¿Quién fue el responsable de la teoría de la relatividad?,Isaac Newton,Albert Einstein,Galileo Galilei,Nikola Tesla,2
Historia,¿En qué año terminó la Segunda Guerra Mundial?,1945,1944,1943,1946,1
Deportes,¿Quién ganó la Copa del Mundo de Fútbol en 2018?,Brasil,Argentina,Alemania,Francia,4
Deportes,¿En qué deporte se utiliza un tablero y un aro?,Fútbol,Baloncesto,Beisbol,Tenis,2
Deportes,¿Cuántos jugadores tiene un equipo de fútbol?,11,12,9,10,1
Deportes,¿Quién es el jugador más famoso de tenis?,Rafael Nadal,Novak Djokovic,Serena Williams,Roger Federer,4
Deportes,¿En qué deporte se corre en circuitos?,Fútbol,Atletismo,Automovilismo,Baloncesto,3
Entretenimiento,¿Qué película ganó el Oscar a Mejor Película en 2020?,Parasite,1917,Once Upon a Time in Hollywood,The Irishman,1
Entretenimiento,¿Quién cantó "Thriller"?,Michael Jackson,Elvis Presley,Freddie Mercury,Prince,1
Entretenimiento,¿Qué serie popular tiene un personaje llamado "Eleven"?,Stranger Things,Game of Thrones,The Crown,The Witcher,1
Entretenimiento,¿Quién es el director de "Inception"?,Christopher Nolan,Martin Scorsese,Steven Spielberg,Quentin Tarantino,1
Entretenimiento,¿En qué año se estrenó "Avatar"?,2008,2009,2010,2011,2